card_number,card_name
107,Goofy - Super Goof
108,Hercules - Clumsy Kid
109,Hercules - Daring Demigod
110,Khan - Beloved Steed
111,Li Shang - General’s Son
112,Li Shang - Valorous General
113,Lumiere - Fiery Friend
114,Mulan - Elite Archer
115,Mulan - Enemy of Entanglement
116,Mulan - Injured Soldier
117,Namaari - Heir of Fang
118,Nessus - River Guardian
119,Noi - Acrobatic Baby
120,Pegasus - Flying Steed
121,Raya - Fierce Protector
122,Raya - Guardian of the Dragon Gem
123,Sisu - Daring Visitor
124,Sisu - Emboldened Warrior
125,Sisu - Empowered Sibling
126,Tong - Survivor
127,Tuk Tuk - Lively Partner
128,A Pirate’s Life
129,Be King Undisputed
130,Brawl
131,Imperial Proclamation
132,Medallion Weights
133,The Plank
134,Vitalisphere
135,Snuggly Duckling - Disreputable Pub
136,Training Grounds - Impossible Pillar171 Aladdin - Brave Rescuer
172,Aladdin - Resolute Swordsman
173,Arges - The Cyclops
174,Ariel - Determined Mermaid
175,Ariel - Sonic Warrior
176,Beast - Thick-Skinned
177,Chi-Fu - Imperial Advisor
178,Chien-Po - Imperial Soldier
179,Donald Duck - Buccaneer
180,Hercules - Beloved Hero
181,LeFou - Opportunistic Flunky
182,Li Shang - Imperial Captain
183,Ling - Imperial Soldier
184,Luisa Madrigal - Rock of the Family
185,Magic Broom - Aerial Cleaner
186,Magic Broom - Brigade Commander
187,Mickey Mouse - Playful Sorcerer
188,Mickey Mouse - Standard Bearer
189,Mulan - Armored Fighter
190,Philoctetes - No-Nonsense Instructor
191,Piglet - Sturdy Swordsman
192,Rajah - Royal Protector
193,Raya - Unstoppable Force
194,Yao - Imperial Soldier
195,Avalanche
196,"I Find ’Em, I Flatten ’Em"
197,One Last Hope
198,The Mob Song
199,Triton's Decree
200,Fortisphere
201,Imperial Bow
202,RLS Legacy's Cannon
203,The Wall - Border Fortress
204,Thebes - The Big Olive137 Anna - Braving the Storm
138,Anna - True-Hearted
139,Ariel - Treasure Collector
140,Aurora - Lore Guardian
141,Aurora - Tranquil Princess
142,Dang Hu - Talon Chief
143,Fa Li - Mulan’s Mother
144,Flounder - Collector’s Companion
145,Hades - Meticulous Plotter
146,Hans - Noble Scoundrel
147,Iduna - Caring Mother
148,John Silver - Terror of the Realm
149,Olaf - Carrot Enthusiast
150,Olaf - Trusting Companion
151,Pascal - Inquisitive Pet
152,Prince Phillip - Gallant Defender
153,Rapunzel - Appreciative Artist
154,Scuttle - Expert on Humans
155,Sisu - Wise Friend
156,The Queen - Diviner
157,Transformed Chef - Castle Stove
158,Triton - Champion of Atlantica
159,Triton - Discerning King
160,Triton - Young Prince
161,Tuk Tuk - Curious Partner
162,Dig a Little Deeper
163,Glean
164,Seldom All They Seem
165,Treasures Untold
166,Field of Ice
167,Great Stone Dragon
168,Ice Block
169,Ariel’s Grotto - A Secret Place
170,Winter Camp - Medical Tent
