card_number,card_name
107,Captain Hook - Ruthless Pirate
108,Donald Duck - Boisterous Fowl
109,Elsa - Ice Surfer
110,Gaston - Arrogant Hunter
111,Goofy - Daredevil
112,LeFou - Instigator
113,Maleficent - Monstrous Dragon
114,Maui - Hero to All
115,Mickey Mouse - Brave Little Tailor
116,Minnie Mouse - Always Classy
117,Moana - Chosen by the Ocean
118,Mulan - Imperial Soldier
119,Peter Pan - Fearless Fighter
120,Pongo - Ol' Rascal
121,Rapunzel - Letting Down Her Hair
122,Scar - Fiery Usurper
123,Scar - Shameless Firebrand
124,Sergeant Tibbs - Courageous Cat
125,Stitch - Abomination
126,Te Kā - The Burning One
127,Tigger - Wonderful Thing
128,Be Prepared
129,Cut to the Chase
130,Dragon Fire
131,Fan the Flames
132,He’s Got a Sword!
133,Tangle
134,Poisoned Apple
135,Shield of Virtue
136,Sword of Truth137 Ariel - Whoseit Collector
138,Aurora - Briar Rose
139,Aurora - Dreaming Guardian
140,Aurora - Regal Princess
141,Belle - Inventive Engineer
142,Belle - Strange but Special
143,Chief Tui - Respected Leader
144,Donald Duck - Strutting His Stuff
145,Flounder - Voice of Reason
146,Gramma Tala - Storyteller
147,Hades - Infernal Schemer
148,Jasmine - Disguised
149,Jasmine - Queen of Agrabah
150,Maleficent - Sinister Visitor
151,Maleficent - Uninvited
152,Maurice - World-Famous Inventor
153,Merlin - Self-Appointed Mentor
154,Mickey Mouse - Detective
155,Mufasa - King of the Pride Lands
156,Philoctetes - Trainer of Heroes
157,Robin Hood - Unrivaled Archer
158,Scar - Mastermind
159,Tamatoa - So Shiny!
160,Triton - The Sea King
161,Develop Your Brain
162,If it’s Not Baroque
163,Let It Go
164,One Jump Ahead
165,Work Together
166,Coconut Basket
167,Eye of the Fates
168,Fishbone Quill
169,Magic Golden Flower
170,Scepter of Arendelle171 Aladdin - Cornered Swordsman
172,Beast - Hardheaded
173,Captain Hook - Captain of the Jolly Roger
174,Captain Hook - Forceful Duelist
175,Captain Hook - Thinking a Happy Thought
176,Cerberus - Three-Headed Dog
177,Donald Duck - Musketeer
178,Gantu - Galactic Federation Captain
179,Goons - Maleficent's Underlings
180,Hans - Thirteenth in Line
181,Hercules - True Hero
182,Kristoff - Official Ice Master
183,Kronk - Right-Hand Man
184,Lilo - Galactic Hero
185,Maui - Demigod
186,Mickey Mouse - Musketeer
187,Prince Eric - Dashing and Brave
188,Simba - Future King
189,Simba - Returned King
190,Simba - Rightful Heir
191,Starkey - Hook's Henchman
192,Te Kā - Heartless
193,Tinker Bell - Giant Fairy
194,Tinker Bell - Tiny Tactician
195,A Whole New World
196,Break
197,Fire the Cannons!
198,Grab Your Sword
199,Ransack
200,Smash
201,Beast's Mirror
202,Frying Pan
203,Musketeer Tabard
204,Plasma Blaster
