card_number,card_name,set_name
10,"Fix-It Felix, Jr. - Trusty Builder",shimmering-skies
11,Gazelle - Pop Star,shimmering-skies
12,"Fix-It Felix, Jr. - Niceland Steward",shimmering-skies
13,Kristoff - Reindeer Keeper,shimmering-skies
14,Mirabel Madrigal - Family Gatherer,shimmering-skies
15,Minnie Mouse - Drum Major,shimmering-skies
16,Daisy Duck - Donald's Date,shimmering-skies
17,"Fix-It Felix, Jr. - Delighted Sightseer",shimmering-skies
18,Moana - Determined Explorer ,shimmering-skies
19,Vanellope von Schweetz - Sugar Rush Princess,shimmering-skies
20,Alan-a-Dale - Rockin' Rooster,shimmering-skies
21,Wreck-It Ralph - Admiral Underpants,shimmering-skies
22,Maid Marian - Lady of the Lists,shimmering-skies
23,Sven - Reindeer Steed,shimmering-skies
24,Minnie Mouse - Compassionate Friend,shimmering-skies
25,Try Everything,shimmering-skies
26,Healing Touch,shimmering-skies
27,Revive,shimmering-skies
28,Blast from Your Past,shimmering-skies
29,Invited to the Ball,shimmering-skies
30,Healing Decanter ,shimmering-skies
31,Queen's Sensor Core,shimmering-skies
32,Amber Chromicon,shimmering-skies
33,Rapunzel's Tower - Secluded Prison,shimmering-skies
34,Pride Lands - Jungle Oasis69 Robin Hood - Timely Contestant ,shimmering-skies
70,Shenzi - Scar's Accomplice,shimmering-skies
71,Little John - Camp Cook,shimmering-skies
72,Zazu - Advisor to Mufasa,shimmering-skies
73,Ulf - Mime,shimmering-skies
74,Ed - Laughing Hyena,shimmering-skies
75,Flora - Good Fairy,shimmering-skies
76,Merryweather - Good Fairy,shimmering-skies
77,Robin Hood - Archery Contestant,shimmering-skies
78,Fauna - Good Fairy,shimmering-skies
79,Iago - Fake Flamingo,shimmering-skies
80,Banzai - Gluttonous Predator,shimmering-skies
81,Ed - Hysterical Partygoer,shimmering-skies
82,Scroop - Odious Mutineer,shimmering-skies
83,Prince Phillip - Swordsman of the Realm,shimmering-skies
84,Clarabelle - Light on Her Hooves,shimmering-skies
85,Anna - Diplomatic Queen,shimmering-skies
86,Clarabelle - Clumsy Guest ,shimmering-skies
87,Banzai - Taunting Hyena,shimmering-skies
88,Robin Hood - Sneaky Sleuth,shimmering-skies
89,Mother Gothel - Conceited Manipulator ,shimmering-skies
90,Clarabelle - Contented Wallflower ,shimmering-skies
91,Shenzi - Head Hyena,shimmering-skies
92,Mother Gothel - Unwavering Schemer,shimmering-skies
93,Scar - Vengeful Lion,shimmering-skies
94,Hypnotic Deduction ,shimmering-skies
95,Night Howler Rage,shimmering-skies
96,You're Welcome,shimmering-skies
97,Remember Who You Are,shimmering-skies
98,Prince John's Mirror,shimmering-skies
99,Obscurosphere,shimmering-skies
100,Emerald Chromicon,shimmering-skies
101,Sherwood Forest - Outlaw Hideaway,shimmering-skies
102,Tropical Rainforest - Jaguar Lair,shimmering-skies
103,Taffyta Muttonfudge - Ruthless Rival,shimmering-skies
104,Wreck-It Ralph - Demolition Dude,shimmering-skies
105,Maximus - Team Champion ,shimmering-skies
106,Turbo - Royal Hack,shimmering-skies
107,Donald Duck - Pie Slinger,shimmering-skies
108,Rancis Fluggerbutter - Chocolate Charger,shimmering-skies
109,Scar - Betrayer,shimmering-skies
110,Snowanna Rainbeau - Cool Competitor,shimmering-skies
111,Daisy Duck - Spotless Food-Fighter,shimmering-skies
112,Mickey Mouse - Enthusiastic Dancer,shimmering-skies
113,Ratigan - Raging Rat,shimmering-skies
114,Taffyta Muttonfudge - Crowd Favorite,shimmering-skies
115,Denahi - Avenging Brother,shimmering-skies
116,Pete - Steamboat Rival,shimmering-skies
117,Taffyta Muttonfudge - Sour Speedster,shimmering-skies
118,Robin Hood - Sharpshooter,shimmering-skies
119,Gaston - Pure Paragon,shimmering-skies
120,Pete - Pastry Chomper  ,shimmering-skies
121,Arthur - Novice Sparrow,shimmering-skies
122,Donald Duck - Daisy's Date,shimmering-skies
123,Ratigan - Party Crasher,shimmering-skies
124,Vanellope von Schweetz - Random Roster Racer,shimmering-skies
125,Simba - Adventurous Successor,shimmering-skies
126,Minnie Mouse - Dazzling Dancer,shimmering-skies
127,Break Free,shimmering-skies
128,Evil Comes Prepared,shimmering-skies
129,Don't Let the Frostbite Bite,shimmering-skies
130,Glimmer vs Glimmer,shimmering-skies
131,Who's With Me?,shimmering-skies
132,Potion of Might,shimmering-skies
133,The Sword Released,shimmering-skies
134,Ruby Chromicon,shimmering-skies
135,Sugar Rush Speedway - Starting Line,shimmering-skies
136,Ratigan's Party - Seedy Back Room171 Stitch - Team Underdog,shimmering-skies
172,Jafar - Tyrannical Hypnotist,shimmering-skies
173,Simba - Lost Prince,shimmering-skies
174,Rudy - Groove Disrupter,shimmering-skies
175,Royal Guard - Bovine Protector,shimmering-skies
176,Mickey Mouse - Food Fight Defender,shimmering-skies
177,Sleepy - Sluggish Knight,shimmering-skies
178,Kronk - Unlicensed Investigator,shimmering-skies
179,HeiHei - Protective Rooster,shimmering-skies
180,Sneezy - Noisy Knight,shimmering-skies
181,Dopey - Knight Apprentice ,shimmering-skies
182,Namaari - Resolute Daughter,shimmering-skies
183,Snow White - Fair-Hearted,shimmering-skies
184,Yzma - Unjustly Treated ,shimmering-skies
185,Kronk - Head of Security,shimmering-skies
186,Grumpy - Skeptical Knight,shimmering-skies
187,Pete - Wrestling Champ,shimmering-skies
188,Sir Ector - Castle Lord,shimmering-skies
189,Bashful - Adoring Knight,shimmering-skies
190,Arthur - Wart,shimmering-skies
191,Happy - Lively Knight,shimmering-skies
192,Simba - Son of Mufasa,shimmering-skies
193,Doc - Bold Knight,shimmering-skies
194,Arthur - King Victorious ,shimmering-skies
195,Pete - Games Referee  ,shimmering-skies
196,Tug-of-War,shimmering-skies
197,When Will My Life Begin?,shimmering-skies
198,Duck for Cover!,shimmering-skies
199,Food Fight!,shimmering-skies
200,Shield of Arendelle,shimmering-skies
201,Plate Armor,shimmering-skies
202,Steel Chromicon,shimmering-skies
203,Bad-Anon,shimmering-skies
204,Seven Dwarfs' Mine137 King Candy - Sovereign of Sugar,shimmering-skies
138,Chaca - Impressive Daughter,shimmering-skies
139,The Queen - Cruelest of All,shimmering-skies
140,Scrooge McDuck - Afficionado of Antiquities,shimmering-skies
141,Prince John - Opportunistic Briber,shimmering-skies
142,Merlin - Back from Bermuda,shimmering-skies
143,Pacha - Emperor's Guide,shimmering-skies
144,The Queen - Fairest of All,shimmering-skies
145,Sheriff of Nottingham - Bushel Britches,shimmering-skies
146,Chicha - Dedicated Mother,shimmering-skies
147,Prince John - Gold Lover,shimmering-skies
148,The Queen - Crown of the Council,shimmering-skies
149,Kuzco - Selfish Emperor,shimmering-skies
150,Mufasa - Ruler of Pride Rock,shimmering-skies
151,Ludwig von Drake - Self-Proclaimed Genius,shimmering-skies
152,Minnie Mouse - Quick-Thinking Inventor,shimmering-skies
153,Basil - Practiced Detective ,shimmering-skies
154,King Candy - Sweet Abomination,shimmering-skies
155,Donald Duck - Focused Flatfoot,shimmering-skies
156,Tanana - Wise Woman,shimmering-skies
157,Tipo - Growing Son,shimmering-skies
158,Belle - Of the Ball,shimmering-skies
159,Merlin - Intellectual Visionary ,shimmering-skies
160,Vision of the Future,shimmering-skies
161,Royal Tantrum,shimmering-skies
162,Ever as Before,shimmering-skies
163,Hide Away,shimmering-skies
164,All Funned Out,shimmering-skies
165,Medal of Heroes,shimmering-skies
166,Basil's Magnifying Glass,shimmering-skies
167,Merlin's Carpetbag,shimmering-skies
168,Sapphire Chromicon,shimmering-skies
169,The Great Illuminary - Radiant Ballroom,shimmering-skies
170,Merlin's Cottage - The Wizard's HomeTOTAL TOTAL TOTAL,shimmering-skies
