card_number,card_name,set_name
121,Rapunzel - Letting Down Her Hair,the-first-chapter
122,Scar - Fiery Usurper,the-first-chapter
123,Scar - Shameless Firebrand,the-first-chapter
124,Sergeant Tibbs - Courageous Cat,the-first-chapter
125,Stitch - Abomination,the-first-chapter
126,Te Kā - The Burning One,the-first-chapter
127,Tigger - Wonderful Thing,the-first-chapter
128,Be Prepared,the-first-chapter
129,Cut to the Chase,the-first-chapter
130,Dragon Fire,the-first-chapter
131,Fan the Flames,the-first-chapter
132,He’s Got a Sword!,the-first-chapter
133,Tangle,the-first-chapter
134,Poisoned Apple,the-first-chapter
135,Shield of Virtue,the-first-chapter
136,Sword of Truth137 Ariel - Whoseit Collector,the-first-chapter
138,Aurora - Briar Rose,the-first-chapter
139,Aurora - Dreaming Guardian,the-first-chapter
140,Aurora - Regal Princess,the-first-chapter
141,Belle - Inventive Engineer,the-first-chapter
142,Belle - Strange but Special,the-first-chapter
143,Chief Tui - Respected Leader,the-first-chapter
144,Donald Duck - Strutting His Stuff,the-first-chapter
145,Flounder - Voice of Reason,the-first-chapter
146,Gramma Tala - Storyteller,the-first-chapter
147,Hades - Infernal Schemer,the-first-chapter
148,Jasmine - Disguised,the-first-chapter
149,Jasmine - Queen of Agrabah,the-first-chapter
150,Maleficent - Sinister Visitor,the-first-chapter
151,Maleficent - Uninvited,the-first-chapter
152,Maurice - World-Famous Inventor,the-first-chapter
153,Merlin - Self-Appointed Mentor,the-first-chapter
154,Mickey Mouse - Detective,the-first-chapter
155,Mufasa - King of the Pride Lands,the-first-chapter
156,Philoctetes - Trainer of Heroes,the-first-chapter
157,Robin Hood - Unrivaled Archer,the-first-chapter
158,Scar - Mastermind,the-first-chapter
159,Tamatoa - So Shiny!,the-first-chapter
160,Triton - The Sea King,the-first-chapter
161,Develop Your Brain,the-first-chapter
162,If it’s Not Baroque,the-first-chapter
163,Let It Go,the-first-chapter
164,One Jump Ahead,the-first-chapter
165,Work Together,the-first-chapter
166,Coconut Basket,the-first-chapter
167,Eye of the Fates,the-first-chapter
168,Fishbone Quill,the-first-chapter
169,Magic Golden Flower,the-first-chapter
170,Scepter of Arendelle171 Aladdin - Cornered Swordsman,the-first-chapter
172,Beast - Hardheaded,the-first-chapter
173,Captain Hook - Captain of the Jolly Roger,the-first-chapter
174,Captain Hook - Forceful Duelist,the-first-chapter
175,Captain Hook - Thinking a Happy Thought,the-first-chapter
176,Cerberus - Three-Headed Dog,the-first-chapter
177,Donald Duck - Musketeer,the-first-chapter
178,Gantu - Galactic Federation Captain,the-first-chapter
179,Goons - Maleficent's Underlings,the-first-chapter
180,Hans - Thirteenth in Line,the-first-chapter
181,Hercules - True Hero,the-first-chapter
182,Kristoff - Official Ice Master,the-first-chapter
183,Kronk - Right-Hand Man,the-first-chapter
184,Lilo - Galactic Hero,the-first-chapter
185,Maui - Demigod,the-first-chapter
186,Mickey Mouse - Musketeer,the-first-chapter
187,Prince Eric - Dashing and Brave,the-first-chapter
188,Simba - Future King,the-first-chapter
189,Simba - Returned King,the-first-chapter
190,Simba - Rightful Heir,the-first-chapter
191,Starkey - Hook's Henchman,the-first-chapter
192,Te Kā - Heartless,the-first-chapter
193,Tinker Bell - Giant Fairy,the-first-chapter
194,Tinker Bell - Tiny Tactician,the-first-chapter
195,A Whole New World,the-first-chapter
196,Break,the-first-chapter
197,Fire the Cannons!,the-first-chapter
198,Grab Your Sword,the-first-chapter
199,Ransack,the-first-chapter
200,Smash,the-first-chapter
201,Beast's Mirror,the-first-chapter
202,Frying Pan,the-first-chapter
203,Musketeer Tabard,the-first-chapter
204,Plasma Blaster,the-first-chapter
