card_number,card_name,set_name
192,Queen of Hearts - Capricious Monarch,rise-of-the-floodborn
193,Robin Hood - Capable Fighter,rise-of-the-floodborn
194,The Huntsman - Reluctant Enforcer,rise-of-the-floodborn
195,The Prince - Never Gives Up,rise-of-the-floodborn
196,Tiana - Celebrating Princess,rise-of-the-floodborn
197,Tiana - Diligent Waitress,rise-of-the-floodborn
198,Charge!,rise-of-the-floodborn
199,Let the Storm Rage On,rise-of-the-floodborn
200,Pick a Fight,rise-of-the-floodborn
201,Strength of a Raging Fire,rise-of-the-floodborn
202,Last Cannon,rise-of-the-floodborn
203,Mouse Armor,rise-of-the-floodborn
204,Weight Set137 Alice - Growing Girl,rise-of-the-floodborn
138,Basil - Great Mouse Detective,rise-of-the-floodborn
139,Basil - Of Baker Street,rise-of-the-floodborn
140,Basil - Perceptive Investigator,rise-of-the-floodborn
141,Caterpillar - Calm and Collected,rise-of-the-floodborn
142,Cogsworth - Grandfather Clock,rise-of-the-floodborn
143,Cogsworth - Talking Clock,rise-of-the-floodborn
144,Cruella De Vil - Fashionable Cruiser,rise-of-the-floodborn
145,Cruella De Vil - Perfectly Wretched,rise-of-the-floodborn
146,Duke Weaselton - Small-Time Crook,rise-of-the-floodborn
147,Gaston - Intellectual Powerhouse,rise-of-the-floodborn
148,Grand Pabbie - Oldest and Wisest,rise-of-the-floodborn
149,Hiram Flaversham - Toymaker,rise-of-the-floodborn
150,James - Role Model,rise-of-the-floodborn
151,Jasmine - Heir of Agrabah,rise-of-the-floodborn
152,Judy Hopps - Optimistic Officer,rise-of-the-floodborn
153,Mrs. Judson - Housekeeper,rise-of-the-floodborn
154,Nick Wilde - Wily Fox,rise-of-the-floodborn
155,Noi - Orphaned Thief,rise-of-the-floodborn
156,Owl - Logical Lecturer,rise-of-the-floodborn
157,Prince Charming - Heir to the Throne,rise-of-the-floodborn
158,Rabbit - Reluctant Host,rise-of-the-floodborn
159,Sisu - Divine Water Dragon,rise-of-the-floodborn
160,The Nokk - Water Spirit,rise-of-the-floodborn
161,Winnie the Pooh - Having a Think,rise-of-the-floodborn
162,Falling Down the Rabbit Hole,rise-of-the-floodborn
163,Four Dozen Eggs,rise-of-the-floodborn
164,Launch,rise-of-the-floodborn
165,Nothing to Hide,rise-of-the-floodborn
166,Fang Crossbow,rise-of-the-floodborn
167,Gumbo Pot,rise-of-the-floodborn
168,Maurice's Workshop,rise-of-the-floodborn
169,Pawpsicle,rise-of-the-floodborn
170,Sardine CanTOTAL TOTAL TOTAL,rise-of-the-floodborn
