id,name,version,layout,released_at,cost,inkwell,ink,text,move_cost,strength,willpower,lore,rarity,collector_number,lang,flavor_text,tcgplayer_id
crd_b0c8c37c12834fa1b2b7d831b172ff0c,Chip 'n' Dale,Recovery Rangers,normal,2024-11-15,8,False,Amber,"Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Chip or Dale.)
(This character counts as being named both Chip and Dale.)
SEARCH AND RESCUE During your turn, whenever a card is put into your inkwell, you may return a character card from your discard to your hand.",,6.0,6.0,3.0,Rare,14,en,,582544.0
crd_17a352bad7df43d2bfd36a9c2c475c6c,Judy Hopps,Resourceful Rabbit,normal,2024-11-15,6,True,Amber,"Support (Whenever this character quests, you may add their {S} to another chosen character's {S} this turn.)

NEED SOME HELP? At the end of your turn, you may ready another chosen character of yours.",,3.0,6.0,2.0,Rare,15,en,,579923.0
crd_c01f3a4124be48dbb77aaa45281e74ba,Tiana,Restaurant Owner,normal,2024-11-15,3,False,Amber,"SPECIAL RESERVATION Whenever a character of yours is challenged while this character is exerted, the challenging character gets -3 {S} this turn unless their player pays 3 {I}.",,1.0,4.0,2.0,Legendary,16,en,"""The only way to get what you want in this world is through hard work.""",588155.0
crd_07af0c79c9fe46728b147454f273deac,Grand Councilwoman,Federation Leader,normal,2024-11-15,2,True,Amber,"FIND IT! Whenever this character quests, your other Alien characters get +1 {L} this turn.",,1.0,3.0,1.0,Uncommon,17,en,"""I want an expert on this planet in here now!""",587757.0
crd_a0d0572121974dd1afc318bb0fd0907e,Dale,Mischievous Ranger,normal,2024-11-15,4,True,Amber,"NUTS ABOUT PRANKS When you play this character, you may put the top 3 cards of your deck into your discard to give chosen character -3 {S} until the start of your next turn.",,3.0,4.0,1.0,Uncommon,18,en,,578170.0
crd_43a7721fdfb145f8a5216c85da2c77ec,Nani,Caring Sister,normal,2024-11-15,5,True,Amber,"Support (Whenever this character quests, you may add their {S} to another chosen character’s {S} this turn.)
I AM SO SORRY 2 {I} - Chosen character gets -1 {S} until the start of your next turn.",,3.0,5.0,2.0,Rare,19,en,,592005.0
crd_a94b5e02de4a43bdba60303fffe3d20f,Simba,Pride Protector,normal,2024-11-15,5,False,Amber,"Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Simba.)
UNDERSTAND THE BALANCE At the end of your turn, if this character is exerted, you may ready your other characters.",,4.0,4.0,2.0,Legendary,20,en,,591991.0
crd_4557d5bc41de40728df0ebbbdce4787f,Kanga,Nurturing Mother,normal,2024-11-15,3,False,Amber,"SAFE AND SOUND Whenever this character quests, choose a character of yours and that character can't be challenged until the start of your next turn.",,2.0,4.0,1.0,Rare,21,en,"""My, you've had an awfully big adventure. Now it's time to rest.""",593019.0
crd_6656edfc61dd4cc0846fee37f6c8e7b9,Rabbit,Indignant Pirate,normal,2024-11-15,1,True,Amber,"BE MORE CAREFUL When you play this character, you may remove up to 1 damage from chosen character.",,1.0,2.0,1.0,Common,22,en,"""See? I told you it was dangerous out there!""",587238.0
crd_8497d60197bd451c91b4c2468f85b156,Roo,Littlest Pirate,normal,2024-11-15,2,True,Amber,"I'M A PIRATE TOO! When you play this character, you may give chosen character -2 {S} until the start of your next turn.",,1.0,2.0,1.0,Common,23,en,"""Look at all my ships, mama! We're going on the Azurite Sea!""",587967.0
crd_19217586b3924276aa8996d318f83139,Mr. Litwak,Arcade Owner,normal,2024-11-15,3,True,Amber,"THE GANG'S ALL HERE Once during your turn, whenever you play another character, you may ready this character. He can’t quest or challenge for the rest of this turn.",,2.0,3.0,1.0,Common,24,en,"""Come on in. Good to see you.""",593030.0
crd_5de4864e187a4039b3e47b6ada93b801,Jim Hawkins,Honorable Pirate,normal,2024-11-15,7,True,Amber,"Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.)
HIRE A CREW When you play this character, look at the top 4 cards of your deck. You may reveal any number of Pirate character cards and put them into your hand. Put the rest on the bottom of your deck in any order.",,4.0,7.0,2.0,Super_rare,25,en,,578171.0
crd_91292f4ca0684baf9ed9715bf7caa07a,Stitch,Little Trickster,normal,2024-11-15,2,True,Emerald,NEED A HAND? 1 {I} - This character gets +1 {S} this turn.,,1.0,3.0,1.0,Common,26,en,Always ready in an emergency—usually because he caused it.,592007.0
crd_a9d39ce276fd4f1b9435d1bb1d09559c,Good Job!,,normal,2024-11-15,1,True,Amber,Chosen character gets +1 {L} this turn.,,,,,Common,27,en,"""Be proud of that badge. You earned it.""
—Judy Hopps",591977.0
crd_128b29d2aef043efb62b2fb63189c4ca,I Won't Give In,,normal,2024-11-15,2,True,Amber,"(A character with cost 2 or more can {E} to sing this song for free.)
Return a character card with cost 2 or less from your discard to your hand.",,,,,Common,28,en,"'Til I reach the end, and then I'll start again",588087.0
crd_be7a93b4b99b4a8b9da63fd956fa3c86,Rescue Rangers Away!,,normal,2024-11-15,2,True,Amber,Count the number of characters you have in play. Chosen character loses {S} equal to that number until the start of your next turn.,,,,,Uncommon,29,en,,578172.0
crd_cf72db3ded534d7086fb4ead70250f95,Safe and Sound,,normal,2024-11-15,2,False,Amber,Chosen character of yours can’t be challenged until the start of your next turn.,,,,,Rare,30,en,"""Here I am, mama!""",593041.0
crd_d4d40d9e539442f592da01b640e440a7,Naveen's Ukulele,,normal,2024-11-15,1,True,Amber,"MAKE IT SING 1 {I}, Banish this item - Chosen character counts as having +3 cost to sing songs this turn.",,,,,Common,31,en,"""I love this instrument! I strum, everyone dances.""
—Prince Naveen",593032.0
crd_4251575ec547497da73676a6a09c8872,Pooh Pirate Ship,,normal,2024-11-15,1,False,Amber,"MAKE A RESCUE {E}, 3 {I} – Return a Pirate character card from your discard to your hand.",,,,,Rare,32,en,The friendliest ship on the Azurite Sea.,587239.0
crd_a631b5ead5b34dd4b89ae313a3dcbd1d,Scrump,,normal,2024-11-15,2,True,Amber,I MADE HER {E} one of your characters - Chosen character gets -2 {S} until the start of your next turn.,,,,,Uncommon,33,en,"""Her head is too big. So I pretend a bug laid eggs in her ears...""
—Lilo",592003.0
crd_2fd6877d711c45f68ad61690d224306a,Hundred Acre Island,Pooh's Home,landscape,2024-11-15,1,True,Amber,"FRIENDS FOREVER During an opponent's turn, whenever a character is banished here, gain 1 lore.",1.0,,5.0,0.0,Common,34,en,,591985.0
crd_c9365d1b256c4d0fa0600686f72b6f3b,Sugar Rush Speedway,Finish Line,landscape,2024-11-15,2,False,Amber,"BRING IT HOME, LITTLE ONE! When you move a character here from another location, you may banish this location to gain 3 lore and draw 3 cards.",6.0,,7.0,0.0,Super_rare,35,en,,592002.0
crd_856fe3c718b544ba808b79a6811bca02,Hades,Lord of the Dead,normal,2024-11-15,6,False,Amethyst,"SOUL COLLECTOR Whenever one of your other characters is banished during the opponent's turn, gain 2 lore.",,3.0,4.0,3.0,Rare,36,en,"""You could say I'm big on the catch, not so much on the release.""",593009.0
crd_cb73a29ef0e94fdb80188902527c5d86,Madam Mim,Tiny Adversary,normal,2024-11-15,2,True,Amethyst,"Challenger +1 (While challenging, this character gets +1 {S}.)
ZIM ZABBERIM ZIM Your other characters gain Challenger +1.",,0.0,3.0,1.0,Rare,37,en,,593023.0
crd_8a0ce27bd434498ba454be0571e58c5b,Genie,Excited Shipbuilder,normal,2024-11-15,3,True,Amethyst,,,4.0,3.0,1.0,Common,38,en,"""For the indecisive sailor we have three, count 'em, three ships in one! It sails, it flies, it juliennes fries! All for the low price of just one wish.""",593006.0
crd_c695077508c44d728ac42c65ac8c97ab,Sisu,In Her Element,normal,2024-11-15,5,True,Amethyst,"Challenger +2 (While challenging, this character gets +2 {S}).",,3.0,6.0,2.0,Common,39,en,"""I'm a water dragon. This is water. It's sort of my thing.""",578173.0
crd_6fbd9103624b4b8d95fec133326385c7,The White Rose,Jewel of the Garden,normal,2024-11-15,3,True,Amethyst,"THE BEAUTY OF THE WORLD When you play this character, gain 1 lore.",,3.0,3.0,1.0,Common,40,en,"""You can learn a lot of things from the flowers...""
—Alice",593043.0
crd_617dc5c42bf6460da3d61a1f330186bf,Juju,Mama Odie's Companion,normal,2024-11-15,2,True,Amethyst,"BEES' KNEES When you play this character, move 1 damage counter from chosen character to chosen opposing character.",,1.0,2.0,1.0,Common,41,en,"""Juju! You get yourself out of that there magic, you bad boy!""
—Mama Odie",588154.0
crd_2f12cdedeefb448eb412128fb4a80fc7,Rafiki,Shaman of the Savanna,normal,2024-11-15,1,True,Amethyst,,,2.0,2.0,1.0,Common,42,en,"""The signs, they never lie. The snake thinks he's planned for everything... Oh, ho, ho! He forgot about the owl. There's hope yet!""",587269.0
crd_ea5cca0b6f8747b8a438b6cdced02d93,Tinker Bell,Fast Flier,normal,2024-11-15,3,True,Amethyst,Evasive (Only characters with Evasive can challenge this character.),,1.0,3.0,2.0,Common,43,en,She zips through the waves without a drop of water touching her.,593045.0
crd_034ca9ad96044d5297e30286fbd64ecb,The Carpenter,Dinner Companion,normal,2024-11-15,2,True,Amethyst,"I'LL GET YOU! When this character is banished, you may exert chosen character.",,1.0,1.0,1.0,Common,44,en,The Carpenter's stomach growled as he clenched his hammer tight...,587934.0
crd_92d831ee2e5b430a9bbbcf7d684bbd57,Iago,Reappearing Parrot,normal,2024-11-15,4,True,Amethyst,"GUESS WHO When this character is banished in a challenge, return this card to your hand.",,4.0,2.0,1.0,Common,45,en,"""You think you can get rid of me that easy?!""",592020.0
crd_65425d8d8a8447d98f4571b7e42c8782,The Walrus,Greedy Gourmand,normal,2024-11-15,4,True,Amethyst,,,3.0,6.0,1.0,Uncommon,46,en,"... While the Walrus finished off the lot, down to the final bite.",588074.0
crd_6cd588941df64ee2a38738b7f7e23c6a,Scar,Tempestuous Lion,normal,2024-11-15,6,False,Amethyst,"Rush (This character can challenge the turn they're played.)
Challenger +3 (While challenging, this character gets +3 {S}.)",,4.0,4.0,2.0,Uncommon,47,en,,588320.0
crd_99ced91e0cc94c6cb0be7bf655372dfd,Tinker Bell,Queen of the Azurite Fairies,normal,2024-11-15,7,True,Amethyst,"Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Tinker Bell.)
Evasive (Only characters with Evasive can challenge this character.)
SHINING EXAMPLE Whenever this character quests, your other Fairy characters get +1 {L} this turn.",,5.0,6.0,2.0,Uncommon,48,en,,584614.0
crd_1419caf47da54560bbafd279ca6cfc4b,Diablo,Obedient Raven,normal,2024-11-15,1,True,Amethyst,"FLY, MY PET! When this character is banished, you may draw a card.",,0.0,1.0,1.0,Uncommon,49,en,"""Go, and do not fail me.""
—Maleficent",588337.0
crd_dc31d36d626f403b871338da45d0a685,March Hare,Absurd Host,normal,2024-11-15,4,True,Amethyst,Rush (This character can challenge the turn they're played.),,2.0,3.0,2.0,Uncommon,50,en,"""Clear the table? Don't mind if I do!""",588100.0
crd_00d0840f303c41b1868ce427b9aaf837,Magic Carpet,Amazing Flier,normal,2024-11-15,3,True,Amethyst,,,1.0,3.0,3.0,Uncommon,51,en,"""Carpet's always come through for us before! He won't let us down now."" 
—Jasmine",592026.0
crd_97344330887a427fb7f2cbb01b7a3f0c,Rafiki,Ethereal Guide,normal,2024-11-15,9,False,Amethyst,"Shift 7 (You may pay 7 {I} to play this on top of one of your characters named Rafiki.)
ASTRAL ATTUNEMENT During your turn, whenever a card is put into your inkwell, you may draw a card.",,6.0,6.0,4.0,Rare,52,en,,580772.0
crd_9a41d700cf2749da8eed29420df7467c,Genie,Wish Fulfilled,normal,2024-11-15,4,False,Amethyst,"Evasive (Only characters with Evasive can challenge this character.)
WHAT HAPPENS NOW? When you play this character, draw a card.",,2.0,4.0,2.0,Rare,53,en,"""Oh, does that feel good!""",593007.0
crd_d84325bc9e814a69b6789f424c3a1eb8,Sisu,Uniting Dragon,normal,2024-11-15,4,False,Amethyst,"TRUST BUILDS TRUST Whenever this character quests, reveal the top card of your deck. If it’s a Dragon character card, put it into your hand and repeat this effect. Otherwise, put it on either the top or the bottom of your deck.",,3.0,3.0,2.0,Super_rare,54,en,,591978.0
crd_997d20bbd2204f4a8cd9670598d8405c,Madam Mim,Truly Marvelous,normal,2024-11-15,3,False,Amethyst,"OH, BAT GIZZARDS 2 {I}, Choose and discard a card - Gain 1 lore.",,2.0,3.0,1.0,Super_rare,55,en,"""I'll give you a sporting chance. I'm mad about games, you know.""",587972.0
crd_02c20f35d83f4d6094a4427dae0c821f,Yzma,Conniving Chemist,normal,2024-11-15,4,True,Amethyst,"FEEL THE POWER {E} - If you have fewer than 3 cards in your hand, draw until you have 3 cards in your hand.",,3.0,3.0,2.0,Legendary,56,en,"""One of these has got to work. Let's see what happens.""",578174.0
crd_c6f28ec2e7a94ce0901675915ba9ff7c,Mama Odie,Solitary Sage,normal,2024-11-15,5,False,Amethyst,"I HAVE TO DO EVERYTHING AROUND HERE Whenever you play a song, you may move up to 2 damage counters from chosen character to chosen opposing character.",,4.0,5.0,1.0,Rare,57,en,,591113.0
crd_421a2dfb847b406fb91556a8ee090423,Peter Pan,Shadow Catcher,normal,2024-11-15,4,False,Amethyst,"GOTCHA! During your turn, whenever a card is put into your inkwell, exert chosen opposing character.",,1.0,3.0,1.0,Uncommon,58,en,"""You're not getting away from me this time!""",591995.0
crd_374115dba006482aa076efca3e52635a,Mad Hatter,Eccentric Host,normal,2024-11-15,1,True,Amethyst,"WE'LL HAVE TO LOOK INTO THIS Whenever this character quests, you may look at the top card of chosen player's deck. Put it on top of their deck or into their discard.",,1.0,1.0,1.0,Super_rare,59,en,,593022.0
crd_6b0de2d0a5b84b5f852ba2a8eccd1a17,A Very Merry Unbirthday,,normal,2024-11-15,1,True,Amethyst,"(A character with cost 1 or more can {E} to sing this song for free.)
Each opponent puts the top 2 cards of their deck into their discard.",,,,,Common,60,en,"Now blow the candle out, my dear
And make your wish come true",591114.0
crd_5cbbabaf0d9f4ad58c942174904a1d8f,Genie,Wonderful Trickster,normal,2024-11-15,7,True,Amethyst,"Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Genie.)
YOUR REWARD AWAITS Whenever you play a card, draw a card.
FORBIDDEN TREASURE At the end of your turn, put all the cards in your hand on the bottom of your deck in any order.",,4.0,7.0,2.0,Legendary,61,en,,588084.0
crd_9bc0e3add087485a927ee66c7414802d,Making Magic,,normal,2024-11-15,3,True,Amethyst,Move 1 damage counter from chosen character to chosen opposing character. Draw a card.,,,,,Common,62,en,"""That's got some zang to it!""
—Mama Odie",593024.0
crd_d7336a7cef10416793a025c24ffc28a0,Lose the Way,,normal,2024-11-15,2,True,Amethyst,"Exert chosen character. Then, you may choose and discard a card. If you do, the exerted character can't ready at the start of their next turn.",,,,,Uncommon,63,en,"""Well, when one's lost, I suppose it's good advice to stay where you are until someone finds you.""
—Alice",587754.0
crd_bb8cbf92bd50483b979bd9ad606987ae,Seeking the Half Crown,,normal,2024-11-15,5,False,Amethyst,"For each Sorcerer character you have in play, you pay 1 {I} less to play this action.
Draw 2 cards.",,,,,Rare,64,en,"""I see the other half, in the Inklands. Quick, my tiny companion! Fetch me that crown!""
—Jafar",593042.0
crd_2a6593b0affd4fbb8860ab6b3b131a50,Maleficent's Staff,,normal,2024-11-15,2,True,Amethyst,"BACK, FOOLS! Whenever one of your opponents' characters, items, or locations is returned to their hand from play, gain 1 lore.",,,,,Rare,65,en,,588369.0
crd_075482312a124f6585f77be3a693f63f,Mad Hatter's Teapot,,normal,2024-11-15,2,True,Amethyst,"NO ROOM, NO ROOM {E}, 1 {I} - Each opponent puts the top card of their deck into their discard.",,,,,Common,66,en,"Alice: ""My goodness, the tea missed the cup!""
Mad Hatter: ""No, no, my dear—the cup missed the tea!""",578175.0
crd_030f9799a2ef4cc0afedc46a03650e70,Pixie Dust,,normal,2024-11-15,4,False,Amethyst,"FAITH AND TRUST {E}, {2} {I} - Chosen character gains Challenger +2 and Evasive until the start of your next turn. (While challenging, they get +2 {1}. Only characters with Evasive can challenge them.)",,,,,Uncommon,67,en,,583854.0
crd_107f43772b78405f8a4fb587e8279d14,Fairy Ship,Royal Vessel,landscape,2024-11-15,1,True,Amethyst,,1.0,,4.0,1.0,Common,68,en,"Legends say that whenever something goes missing, it's been taken to build the fairy ships of the Azurite Sea.",584615.0
crd_9119b44cfe67444288a32f23009541e8,Mystical Tree,Mama Odie's Home,landscape,2024-11-15,2,True,Amethyst,"NOT BAD At the start of your turn, you may move 1 damage counter from chosen character here to chosen opposing character.

HARD-EARNED WISDOM At the start of your turn, if you have a character named Mama Odie here, gain 1 lore.",1.0,,7.0,0.0,Rare,69,en,,586978.0
crd_3aa1cf07954647c89708b98355e6c976,Jasmine,Royal Seafarer,normal,2024-11-15,3,True,Emerald,"BY ORDER OF THE PRINCESS When you play this character, choose one: 
* Exert chosen damaged character. 
* Chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)",,2.0,3.0,1.0,Rare,70,en,,586172.0
crd_44fceab89d3a4b40bd343c2c84a5cca3,Captain Hook,Underhanded,normal,2024-11-15,3,True,Emerald,"INSPIRES DREAD While this character is exerted, opposing Pirate characters can't quest.
UPPER HAND Whenever this character is challenged, draw a card.",,1.0,4.0,2.0,Rare,71,en,,583852.0
crd_efcb250575354ffd8cdce9e8c45d52bf,Stitch,Alien Buccaneer,normal,2024-11-15,4,False,Emerald,"Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Stitch.)
READY FOR ACTION When you play this character, if you used Shift to play him, you may put an action card from your discard on the top of your deck.",,3.0,4.0,2.0,Rare,72,en,,578176.0
crd_2331f6d883e04464ba99cfff895683e2,Go Go Tomago,Darting Dynamo,normal,2024-11-15,2,True,Emerald,"Evasive (Only characters with Evasive can challenge this character.)
STOP WHINING, WOMAN UP When you play this character, you may pay 2 {I} to gain lore equal to the damage on chosen opposing character.",,2.0,2.0,1.0,Rare,73,en,,578177.0
crd_f20b9f97af684d8e84eb6b017eabd8d5,Honey Lemon,Chemical Genius,normal,2024-11-15,2,True,Emerald,"HERE'S THE BEST PART When you play this character, you may pay 2 {I} to have each opponent choose and discard a card.",,1.0,1.0,2.0,Uncommon,74,en,"""You're going to love this!""",578178.0
crd_9cbf437511cf41c7b61f04f01a22c39e,Fred,Mascot by Day,normal,2024-11-15,1,True,Emerald,"HOW COOL IS THAT Whenever this character is challenged, gain 2 lore.",,1.0,1.0,1.0,Common,75,en,"""...but by night... I am also a school mascot.""",578186.0
crd_7c33f5d581a4424f97da41b37ef8f723,Tootles,Lost Boy,normal,2024-11-15,1,True,Emerald,,,2.0,2.0,1.0,Common,76,en,Every Lost Boy has a favorite hiding spot. Tootles has twelve.,588068.0
crd_8c75431635854114b956328d8d30aa10,Dawson,Basil's Assistant,normal,2024-11-15,4,True,Emerald,,,3.0,4.0,2.0,Common,77,en,"""By Jove, he must be around here somewhere. Basil! Basil! Shout if—aaahhh!""",591115.0
crd_aab30247315a46debf548693f0b814c0,Heathcliff,Stoic Butler,normal,2024-11-15,4,True,Emerald,Ward (Opponents can't choose this character except to challenge.),,3.0,3.0,2.0,Common,78,en,"Loyal butler, training target, helicopter pilot—and completely unflappable.",593010.0
crd_e2546a2e03c8442aba30fd09105e54db,Basil,Hypnotized Mouse,normal,2024-11-15,3,True,Emerald,Evasive (Only characters with Evasive can challenge this character.),,3.0,2.0,1.0,Common,79,en,"""Hmm. Footprints from a large... owl? With droplets of water? Clearly some avian menace has crossed the Azurite Sea and absconded with the crown!""",587197.0
crd_466a67ed11c64db5962523365e633f0d,Donald Duck,First Mate,normal,2024-11-15,3,True,Emerald,"CAPTAIN ON DECK While you have a Captain character in play, this character gets +2 {L}.",,2.0,3.0,1.0,Uncommon,80,en,"""A promotion! It's about time someone recognized my natural leadership skills!""",593002.0
crd_9aa8f725b1184ad1ab93f2c138625077,Daisy Duck,Pirate Captain,normal,2024-11-15,4,True,Emerald,"DISTANT SHORES Whenever one of your Pirate characters quests while at a location, draw a card.",,3.0,3.0,2.0,Super_rare,81,en,"""The answers we're looking for are on the other side of that maze, I just know it!""",592039.0
crd_23e456f99c354c9892c90d72d6992bcb,Mertle Edmonds,Lilo's Rival,normal,2024-11-15,1,True,Emerald,,,1.0,3.0,1.0,Uncommon,82,en,"""Get out of my way before I run you over.""",588339.0
crd_11902901f7364369970762d49a1a760d,Prince Phillip,Royal Explorer,normal,2024-11-15,3,True,Emerald,Ward (Opponents can't choose this character except to challenge.),,3.0,2.0,2.0,Uncommon,83,en,A clear head and a calm hand will see you through uncharted waters.,593039.0
crd_ad218b44923244058918299a897f9e4c,Jasmine,Royal Commodore,normal,2024-11-15,6,True,Emerald,"Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Jasmine.)
RULER OF THE SEAS When you play this character, if you used Shift to play her, return all other exerted characters to their players’ hands.",,5.0,5.0,2.0,Legendary,84,en,,591116.0
crd_582e975ec5b64cb7be3e406585a05a6d,Peter Pan,Never Land Prankster,normal,2024-11-15,7,True,Emerald,"LOOK INNOCENT This character enters play exerted.
CAN'T TAKE A JOKE? While this character is exerted, each opposing player can't gain lore unless one of their characters has challenged this turn.",,4.0,6.0,1.0,Super_rare,85,en,,583853.0
crd_3463916fe4e54939a91ee57a62d50ba2,Hercules,Baby Demigod,normal,2024-11-15,6,False,Emerald,"Ward (Opponents can't choose this character except to challenge.)
STRONG LIKE HIS DAD 3 {I} - Deal 1 damage to chosen damaged character.",,6.0,3.0,2.0,Legendary,86,en,,588071.0
crd_c089296aad2d4e4c86c0225be686795b,Alistair Krei,Ambitious Entrepreneur,normal,2024-11-15,3,True,Emerald,"AN EYE FOR TECH When you play this character, if an opponent has an item in play, gain 1 lore.",,2.0,4.0,1.0,Common,87,en,"""Sleek yet strong... These inkrunners are an extraordinary feat of engineering.""",588368.0
crd_c53a704a909445f5b2837b51f29faa47,Gazelle,Angel with Horns,normal,2024-11-15,2,True,Emerald,"YOU ARE A REALLY HOT DANCER When you play this character, chosen character gains Evasive until the start of your next turn. (Only characters with Evasive can challenge them.)",,1.0,2.0,1.0,Common,88,en,,591117.0
crd_228ea83f82c34ee6a0df937dd8efe3f4,Goofy,Expert Shipwright,normal,2024-11-15,5,True,Emerald,"Ward (Opponents can't choose this character except to challenge.)
CLEVER DESIGN Whenever this character quests, chosen character gains Ward until the start of your next turn.",,1.0,4.0,3.0,Rare,89,en,,591119.0
crd_94afdca365e64d8ba0d826076fc4448e,Bellwether,Assistant Mayor,normal,2024-11-15,3,False,Emerald,"FEAR ALWAYS WORKS During your turn, whenever a card is put into your inkwell, chosen opposing character gains Reckless during their next turn. (They can't quest and must challenge if able.)",,2.0,3.0,1.0,Uncommon,90,en,,591120.0
crd_1ee71443799d40dfb924b0c0f041ea5d,Basil,Disguised Detective,normal,2024-11-15,6,True,Emerald,"Shift 4 (You may pay 4 {I} to play this on top of one of your characters named Basil.)
TWISTS AND TURNS During your turn, whenever a card is put into your inkwell, you may pay 1 {I} to have chosen opponent choose and discard a card.",,4.0,5.0,2.0,Uncommon,91,en,,591993.0
crd_479312aef4f4411f8bd173c113ab31f4,Olivia Flaversham,The Toymaker's Daughter,normal,2024-11-15,2,False,Emerald,,,1.0,1.0,3.0,Rare,92,en,"She had searched high and low in the Illuminary for any hint of Basil. Instead, she found something completely unexpected...",593033.0
crd_5406218b8d7a41a68bdf0be3029acf05,Bend to My Will,,normal,2024-11-15,7,False,Emerald,Each opponent discards all cards in their hand.,,,,,Super_rare,93,en,"""At last! This is where your luck runs out!""",591980.0
crd_7ce20e98d86e43eaaf8c525c60f4086c,Prepare to Board!,,normal,2024-11-15,1,True,Emerald,"Chosen character gets +2 {S} this turn. If a Pirate character is chosen, they get +3 {S} instead.",,,,,Common,94,en,"""Bring me the treasure, bring me that ship, and bring me Peter Pan!""
—Captain Hook",587968.0
crd_b87dd2f01e364f679975158dd2637a6d,Heffalumps and Woozles,,normal,2024-11-15,2,True,Emerald,"(A character with cost 2 or more can {E} to sing this song for free.)
Chosen opposing character can't quest during their next turn. Draw a card.",,,,,Common,95,en,"If honey's what you covet, you'll find that they love it",587355.0
